Collection,Record,/r3d:re3data/@xsi:schemaLocation,/r3d:re3data/r3d:repository/r3d:additionalName,/r3d:re3data/r3d:repository/r3d:additionalName/@language,/r3d:re3data/r3d:repository/r3d:aidSystem,/r3d:re3data/r3d:repository/r3d:api,/r3d:re3data/r3d:repository/r3d:api/@apiType,/r3d:re3data/r3d:repository/r3d:certificate,/r3d:re3data/r3d:repository/r3d:citationGuidelineURL,/r3d:re3data/r3d:repository/r3d:contentType,/r3d:re3data/r3d:repository/r3d:contentType/@contentTypeScheme,/r3d:re3data/r3d:repository/r3d:dataAccess/r3d:dataAccessRestriction,/r3d:re3data/r3d:repository/r3d:dataAccess/r3d:dataAccessType,/r3d:re3data/r3d:repository/r3d:dataLicense/r3d:dataLicenseName,/r3d:re3data/r3d:repository/r3d:dataLicense/r3d:dataLicenseURL,/r3d:re3data/r3d:repository/r3d:dataUpload/r3d:dataUploadRestriction,/r3d:re3data/r3d:repository/r3d:dataUpload/r3d:dataUploadType,/r3d:re3data/r3d:repository/r3d:dataUploadLicense/r3d:dataUploadLicenseName,/r3d:re3data/r3d:repository/r3d:dataUploadLicense/r3d:dataUploadLicenseURL,/r3d:re3data/r3d:repository/r3d:databaseAccess/r3d:databaseAccessRestriction,/r3d:re3data/r3d:repository/r3d:databaseAccess/r3d:databaseAccessType,/r3d:re3data/r3d:repository/r3d:databaseLicense/r3d:databaseLicenseName,/r3d:re3data/r3d:repository/r3d:databaseLicense/r3d:databaseLicenseURL,/r3d:re3data/r3d:repository/r3d:description,/r3d:re3data/r3d:repository/r3d:description/@language,/r3d:re3data/r3d:repository/r3d:endDate,/r3d:re3data/r3d:repository/r3d:enhancedPublication,/r3d:re3data/r3d:repository/r3d:entryDate,/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionAdditionalName,/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionAdditionalName/@language,/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionContact,/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionCountry,/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionIdentifier,/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionName,/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionName/@language,/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionType,/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionURL,/r3d:re3data/r3d:repository/r3d:institution/r3d:responsibilityEndDate,/r3d:re3data/r3d:repository/r3d:institution/r3d:responsibilityStartDate,/r3d:re3data/r3d:repository/r3d:institution/r3d:responsibilityType,/r3d:re3data/r3d:repository/r3d:keyword,/r3d:re3data/r3d:repository/r3d:lastUpdate,/r3d:re3data/r3d:repository/r3d:metadataStandard/r3d:metadataStandardName,/r3d:re3data/r3d:repository/r3d:metadataStandard/r3d:metadataStandardName/@metadataStandardScheme,/r3d:re3data/r3d:repository/r3d:metadataStandard/r3d:metadataStandardURL,/r3d:re3data/r3d:repository/r3d:missionStatementURL,/r3d:re3data/r3d:repository/r3d:pidSystem,/r3d:re3data/r3d:repository/r3d:policy/r3d:policyName,/r3d:re3data/r3d:repository/r3d:policy/r3d:policyURL,/r3d:re3data/r3d:repository/r3d:providerType,/r3d:re3data/r3d:repository/r3d:qualityManagement,/r3d:re3data/r3d:repository/r3d:re3data.orgIdentifier,/r3d:re3data/r3d:repository/r3d:remarks,/r3d:re3data/r3d:repository/r3d:repositoryContact,/r3d:re3data/r3d:repository/r3d:repositoryIdentifier,/r3d:re3data/r3d:repository/r3d:repositoryLanguage,/r3d:re3data/r3d:repository/r3d:repositoryName,/r3d:re3data/r3d:repository/r3d:repositoryName/@language,/r3d:re3data/r3d:repository/r3d:repositoryURL,/r3d:re3data/r3d:repository/r3d:size,/r3d:re3data/r3d:repository/r3d:size/@updated,/r3d:re3data/r3d:repository/r3d:software/r3d:softwareName,/r3d:re3data/r3d:repository/r3d:startDate,/r3d:re3data/r3d:repository/r3d:subject,/r3d:re3data/r3d:repository/r3d:subject/@subjectScheme,/r3d:re3data/r3d:repository/r3d:syndication,/r3d:re3data/r3d:repository/r3d:syndication/@syndicationType,/r3d:re3data/r3d:repository/r3d:type,/r3d:re3data/r3d:repository/r3d:versioning
2017-11_Re3data,r3d100012251.xml,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,6.0,1.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012252.xml,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012253.xml,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012254.xml,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0,2.0,3.0,2.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0
2017-11_Re3data,r3d100012256.xml,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012257.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,3.0,2.0,0.0,4.0,2.0,1.0,4.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0
2017-11_Re3data,r3d100012258.xml,1.0,2.0,1.0,0.0,4.0,2.0,1.0,0.0,6.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,2.0,3.0,2.0,0.0,5.0,3.0,1.0,5.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012259.xml,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,4.0,0.0,0.0,3.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012260.xml,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012262.xml,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012263.xml,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012265.xml,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012266.xml,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0
2017-11_Re3data,r3d100012267.xml,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012268.xml,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
2017-11_Re3data,r3d100012269.xml,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012270.xml,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012274.xml,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0
2017-11_Re3data,r3d100012275.xml,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012276.xml,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,6.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012277.xml,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012278.xml,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012281.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012282.xml,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012284.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012285.xml,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0
2017-11_Re3data,r3d100012287.xml,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,2.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012288.xml,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,8.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012290.xml,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012291.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012295.xml,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0
2017-11_Re3data,r3d100012296.xml,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012297.xml,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012298.xml,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012300.xml,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0
2017-11_Re3data,r3d100012302.xml,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012304.xml,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0
2017-11_Re3data,r3d100012305.xml,1.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,1.0,0.0,5.0,1.0,1.0,5.0,0.0,0.0,3.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0
2017-11_Re3data,r3d100012307.xml,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,3.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18.0,1.0,0.0,0.0,1.0,0.0
2017-11_Re3data,r3d100012308.xml,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0
